"Timestamp","Where do you prefer to study the most?","What motivates you most when choosing a study environment?","How important are noise levels in your study environment ?","How important is lighting in your study environment ?","How important is the availability of resources (books, internet, etc.) in your study environment ?","How important is comfort (furniture, temperature) in your study environment?","How do you feel about studying in an environment where others are working or studying as well?","Do you prefer studying alone or with others?","At what time of the day do you usually study?"
"2024/12/23 3:58:56 PM GMT+3","Cafe","Presence of other students for collaboration","3","3","5","4","Neutral","Alone","Evening"
"2024/12/23 3:59:37 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","3","5","Neutral","Alone","Evening"
"2024/12/23 4:00:50 PM GMT+3","Home","Comfort and convenience","3","3","5","5","Neutral","Alone","Afternoon"
"2024/12/23 4:01:08 PM GMT+3","Library","Comfort and convenience","5","3","5","5","Motivated","Alone","Afternoon"
"2024/12/23 4:01:30 PM GMT+3","Home","Comfort and convenience","5","3","4","4","Distracted","Alone","Evening"
"2024/12/23 4:06:05 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","4","5","5","Motivated","With friends","Evening"
"2024/12/23 4:10:05 PM GMT+3","Library","Minimal distractions","5","5","3","3","Neutral","Alone","Morning"
"2024/12/23 4:11:08 PM GMT+3","Home","Availability of study resources (WiFi, computers)","2","3","5","5","Distracted","Alone","Afternoon"
"2024/12/23 4:11:24 PM GMT+3","Cafe","Comfort and convenience","3","3","3","3","Neutral","Alone","Evening"
"2024/12/23 4:12:25 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","5","5","5","Neutral","Alone","Morning"
"2024/12/23 4:12:35 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","5","3","Distracted","Alone","Evening"
"2024/12/23 4:13:08 PM GMT+3","Library","Minimal distractions","4","5","5","4","Motivated","With friends","Afternoon"
"2024/12/23 4:13:48 PM GMT+3","Home","Minimal distractions","5","4","5","4","Neutral","Alone","Evening"
"2024/12/23 4:14:07 PM GMT+3","Home","Presence of other students for collaboration","3","3","4","5","Neutral","With friends","Evening"
"2024/12/23 4:14:36 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","3","4","Neutral","Alone","Evening"
"2024/12/23 4:14:46 PM GMT+3","Library","Minimal distractions","5","5","5","5","Motivated","Alone","Afternoon"
"2024/12/23 4:15:41 PM GMT+3","Home","Presence of other students for collaboration","5","5","5","5","Motivated","With friends","Evening"
"2024/12/23 4:16:28 PM GMT+3","Home","Comfort and convenience","2","2","4","3","Neutral","Alone","Evening"
"2024/12/23 4:16:54 PM GMT+3","Home","Comfort and convenience","4","4","3","5","Distracted","Alone","Evening"
"2024/12/23 4:17:06 PM GMT+3","Library","Availability of study resources (WiFi, computers)","4","3","3","4","Motivated","Alone","Morning"
"2024/12/23 4:17:13 PM GMT+3","Home","Comfort and convenience","5","5","5","5","Neutral","Alone","Evening"
